,Date,Category,Inventory Level,Units Sold,Units Ordered,Price,Competitor Pricing
55,2022-01-12,Clothing,5765,2025,2267,53.36772727272727,53.597272727272724
56,2022-01-12,Electronics,7094,3518,2638,58.305600000000005,58.0268
57,2022-01-12,Furniture,4980,2218,1576,63.916842105263164,64.19684210526316
58,2022-01-12,Groceries,5493,1653,1808,55.125625,55.333125
59,2022-01-12,Toys,4696,2208,2351,61.57333333333333,61.144999999999996
60,2022-01-13,Clothing,1968,1151,771,46.55571428571428,46.65857142857143
61,2022-01-13,Electronics,4517,2437,1911,57.97666666666666,59.37888888888889
62,2022-01-13,Furniture,6366,3779,3034,57.7437037037037,58.10296296296296
63,2022-01-13,Groceries,5157,2301,1974,52.25222222222222,52.575
64,2022-01-13,Toys,7566,3024,3431,52.633,52.897666666666666
65,2022-01-14,Clothing,3334,1419,1342,49.56153846153846,49.401538461538465
66,2022-01-14,Electronics,6621,3505,2205,65.62545454545455,65.47545454545455
67,2022-01-14,Furniture,2965,1156,1010,58.251,60.909000000000006
68,2022-01-14,Groceries,6885,3541,3546,51.25266666666666,50.70333333333333
69,2022-01-14,Toys,6696,3535,2393,58.992,59.4176
70,2022-01-15,Clothing,6964,2438,2764,57.412608695652175,58.627826086956524
71,2022-01-15,Electronics,5694,2812,1607,47.0675,47.115625
72,2022-01-15,Furniture,6183,2860,2103,53.400999999999996,53.654999999999994
73,2022-01-15,Groceries,5320,2455,2029,62.979,63.903
74,2022-01-15,Toys,6081,3188,2134,49.68476190476191,49.20333333333333
75,2022-01-16,Clothing,5850,3167,1928,59.5495,59.077999999999996
76,2022-01-16,Electronics,6140,2929,2570,53.4888,53.832
77,2022-01-16,Furniture,6614,3954,2493,52.79095238095239,52.34095238095239
78,2022-01-16,Groceries,5981,3391,2502,49.816500000000005,49.655
79,2022-01-16,Toys,3736,2162,1581,53.277857142857144,53.51857142857143
80,2022-01-17,Clothing,5843,3438,2045,56.22578947368421,56.904736842105265
81,2022-01-17,Electronics,4958,2307,2064,51.107272727272736,51.75363636363636
82,2022-01-17,Furniture,4712,2136,1887,51.31777777777778,52.14111111111111
83,2022-01-17,Groceries,6543,3317,2543,59.151250000000005,59.885
84,2022-01-17,Toys,3851,1941,2356,59.95117647058824,60.1064705882353
85,2022-01-18,Clothing,4566,2476,1993,64.57555555555555,64.76222222222222
86,2022-01-18,Electronics,4027,2758,1640,57.73529411764706,56.874117647058824
87,2022-01-18,Furniture,6296,3870,2501,58.15291666666667,58.48083333333333
88,2022-01-18,Groceries,6026,3120,2318,52.52,52.145
89,2022-01-18,Toys,4727,1855,1817,55.158235294117645,55.81588235294117
90,2022-01-19,Clothing,4087,1780,2190,62.73388888888889,63.48111111111112
91,2022-01-19,Electronics,7855,3446,3774,52.39344827586206,52.8448275862069
92,2022-01-19,Furniture,3878,2320,1885,49.26533333333334,50.72933333333334
93,2022-01-19,Groceries,7385,3941,2810,47.083333333333336,47.209583333333335
94,2022-01-19,Toys,5163,2560,1581,54.63428571428572,55.335
95,2022-01-20,Clothing,4044,1710,1524,55.61933333333333,55.013333333333335
96,2022-01-20,Electronics,4631,2706,2144,55.084705882352935,55.400588235294116
97,2022-01-20,Furniture,8872,3472,2766,56.933846153846154,57.43076923076923
98,2022-01-20,Groceries,3948,2269,1315,54.22615384615385,53.30769230769231
99,2022-01-20,Toys,8638,4437,3718,60.57689655172414,60.89379310344828
100,2022-01-21,Clothing,3645,2202,1804,62.794375,63.640625
101,2022-01-21,Electronics,8496,4489,3711,53.75818181818182,54.61181818181819
102,2022-01-21,Furniture,5790,2321,2477,60.408500000000004,60.08050000000001
103,2022-01-21,Groceries,4680,1800,1846,55.016666666666666,54.205555555555556
104,2022-01-21,Toys,3352,1834,1208,57.74538461538462,57.385384615384616
105,2022-01-22,Clothing,5618,3309,2402,57.40909090909091,58.45090909090909
106,2022-01-22,Electronics,4928,2620,2171,53.75600000000001,54.297000000000004
107,2022-01-22,Furniture,7465,4224,2416,50.47076923076923,50.018076923076926
108,2022-01-22,Groceries,4628,2353,1497,52.144,51.72266666666667
109,2022-01-22,Toys,5005,2324,1983,49.334705882352935,48.92764705882353
110,2022-01-23,Clothing,5134,2747,2339,59.16090909090909,59.52
111,2022-01-23,Electronics,4611,1957,2137,45.8678947368421,46.4878947368421
112,2022-01-23,Furniture,5542,3086,2936,52.17666666666667,52.760416666666664
113,2022-01-23,Groceries,4600,2063,2163,48.195,47.4585
114,2022-01-23,Toys,4231,2797,1764,46.51266666666666,46.756
115,2022-01-24,Clothing,4111,2011,2216,57.34684210526316,56.13421052631579
116,2022-01-24,Electronics,6628,3092,2474,59.86600000000001,60.739200000000004
117,2022-01-24,Furniture,6704,3122,2617,52.31166666666667,52.745000000000005
118,2022-01-24,Groceries,4525,1351,2002,60.59111111111112,60.93777777777777
119,2022-01-24,Toys,3792,1701,1766,60.082857142857144,59.75642857142857
120,2022-01-25,Clothing,6413,3112,2096,50.82952380952381,50.75190476190476
121,2022-01-25,Electronics,5146,2607,1858,58.9345,59.19349999999999
122,2022-01-25,Furniture,6289,3200,2660,54.08652173913043,53.43826086956521
123,2022-01-25,Groceries,4828,2846,1851,56.827777777777776,57.201666666666675
124,2022-01-25,Toys,4303,2180,1810,50.263888888888886,51.38333333333333
125,2022-01-26,Clothing,4861,2505,2082,56.652499999999996,56.576
126,2022-01-26,Electronics,4672,2404,1827,55.47705882352941,56.21823529411765
127,2022-01-26,Furniture,5446,2550,2794,61.8947619047619,62.24904761904762
128,2022-01-26,Groceries,5364,3254,2277,54.147000000000006,54.106500000000004
129,2022-01-26,Toys,5808,2967,2683,48.89863636363636,49.62227272727273
130,2022-01-27,Clothing,5424,3269,1989,65.00058823529412,65.13058823529411
131,2022-01-27,Electronics,3890,2376,1850,52.028333333333336,52.16833333333333
132,2022-01-27,Furniture,5710,3155,2377,52.54086956521739,52.48478260869565
133,2022-01-27,Groceries,5901,2521,2529,51.406190476190474,52.04095238095239
134,2022-01-27,Toys,5630,2440,1976,56.22714285714286,56.19904761904762
135,2022-01-28,Clothing,3705,1468,2069,57.83142857142857,58.57
136,2022-01-28,Electronics,5852,2674,1995,48.0305,49.407
137,2022-01-28,Furniture,7637,3958,3340,48.05857142857143,47.93821428571429
138,2022-01-28,Groceries,4837,2822,2088,48.59857142857143,48.32047619047619
139,2022-01-28,Toys,4379,2240,1896,61.464705882352945,61.99058823529411
140,2022-01-29,Clothing,5117,2544,1676,52.32764705882353,52.737647058823526
141,2022-01-29,Electronics,6695,3214,2361,52.96272727272728,51.709999999999994
142,2022-01-29,Furniture,5271,2341,2102,49.22315789473684,48.69
143,2022-01-29,Groceries,5317,2721,1741,62.277142857142856,62.07952380952381
144,2022-01-29,Toys,5563,2349,1977,46.56809523809524,47.647619047619045
145,2022-01-30,Clothing,4269,1837,1679,62.765,62.28375
146,2022-01-30,Electronics,7119,3832,2782,52.60681818181818,52.808181818181815
147,2022-01-30,Furniture,5331,2855,1972,62.113,62.379999999999995
148,2022-01-30,Groceries,6011,3303,2673,53.91619047619048,55.17666666666667
149,2022-01-30,Toys,4615,2167,2156,60.23238095238095,59.69428571428571
150,2022-01-31,Clothing,4578,2220,2641,54.30782608695652,53.710434782608694
151,2022-01-31,Electronics,6689,3657,2001,49.50818181818182,49.95227272727273
152,2022-01-31,Furniture,5403,2732,1978,55.61761904761905,55.07142857142857
153,2022-01-31,Groceries,5694,2181,2162,62.05315789473684,62.14368421052632
154,2022-01-31,Toys,3994,2397,2134,56.01933333333333,55.885999999999996
155,2022-02-01,Clothing,5990,2594,2676,57.304545454545455,57.24045454545455
156,2022-02-01,Electronics,5061,2647,2314,48.52652173913043,48.130434782608695
157,2022-02-01,Furniture,6583,3586,2600,54.76291666666666,55.084583333333335
158,2022-02-01,Groceries,3668,2269,1237,47.62416666666667,48.244166666666665
159,2022-02-01,Toys,6020,2756,1936,50.655789473684216,50.97105263157895
160,2022-02-02,Clothing,4638,2914,2304,52.90315789473684,52.90842105263158
161,2022-02-02,Electronics,8132,4010,3280,53.30538461538462,54.160000000000004
162,2022-02-02,Furniture,3892,1611,2000,53.01764705882353,53.95882352941176
163,2022-02-02,Groceries,5167,2416,1618,52.6935294117647,52.304117647058824
164,2022-02-02,Toys,6857,3596,2349,49.20333333333333,48.886190476190485
165,2022-02-03,Clothing,6058,3554,2963,56.3892,55.464
166,2022-02-03,Electronics,6105,2662,2768,54.04772727272727,54.51
167,2022-02-03,Furniture,5095,2056,1990,57.282500000000006,57.354
168,2022-02-03,Groceries,3377,2013,1361,54.573076923076925,53.79923076923077
169,2022-02-03,Toys,4406,2489,2291,48.225,47.1025
170,2022-02-04,Clothing,6273,3032,2883,60.76925925925926,60.894814814814815
171,2022-02-04,Electronics,5806,2756,2080,56.783,56.585
172,2022-02-04,Furniture,4830,2507,2115,45.406470588235294,46.551764705882356
173,2022-02-04,Groceries,4733,1963,2182,59.02842105263158,59.75631578947368
174,2022-02-04,Toys,4170,2646,1905,46.17,45.91411764705882
175,2022-02-05,Clothing,6953,3651,2123,58.078421052631576,58.61578947368421
176,2022-02-05,Electronics,5650,3442,2236,52.4645,53.164
177,2022-02-05,Furniture,4814,2123,2131,59.84947368421053,60.02421052631579
178,2022-02-05,Groceries,5565,2574,2573,45.45095238095238,45.50714285714285
179,2022-02-05,Toys,5997,3311,2368,53.31857142857143,53.92619047619048
180,2022-02-06,Clothing,5225,2432,2748,51.915238095238095,51.79571428571429
181,2022-02-06,Electronics,5301,3013,2224,55.48722222222222,55.56944444444444
182,2022-02-06,Furniture,5348,2707,2221,53.90705882352941,54.20117647058823
183,2022-02-06,Groceries,5214,2184,2335,57.815,57.519000000000005
184,2022-02-06,Toys,6430,3591,2615,54.270833333333336,55.12416666666667
185,2022-02-07,Clothing,4731,2105,1960,50.7825,50.327
186,2022-02-07,Electronics,7751,4035,2961,58.98233333333334,59.638333333333335
187,2022-02-07,Furniture,5289,2782,2386,58.74944444444444,59.13611111111111
188,2022-02-07,Groceries,4856,2612,2185,54.169375,55.01625
189,2022-02-07,Toys,4326,2089,1590,45.719375,45.591875
190,2022-02-08,Clothing,5443,2530,1878,43.986315789473686,43.806315789473686
191,2022-02-08,Electronics,3905,2048,1725,60.025333333333336,59.07933333333334
192,2022-02-08,Furniture,6391,2792,2887,49.75375,49.288333333333334
193,2022-02-08,Groceries,6651,3823,2985,49.32333333333333,49.51481481481482
194,2022-02-08,Toys,4349,2911,1649,60.665333333333336,61.26466666666667
195,2022-02-09,Clothing,5130,2625,2322,45.123000000000005,45.859500000000004
196,2022-02-09,Electronics,3773,1294,1641,72.59625,73.945625
197,2022-02-09,Furniture,6968,3559,2559,57.61238095238096,58.075714285714284
198,2022-02-09,Groceries,3942,1731,1640,54.867333333333335,55.217333333333336
199,2022-02-09,Toys,8855,4544,3054,52.771071428571425,53.96714285714285
200,2022-02-10,Clothing,6174,3929,2031,49.43000000000001,49.68826086956521
201,2022-02-10,Electronics,4342,2401,2046,56.18666666666667,55.01222222222222
202,2022-02-10,Furniture,5809,2759,2403,63.432105263157894,63.30105263157895
203,2022-02-10,Groceries,4394,2304,2823,54.8552380952381,54.37476190476191
204,2022-02-10,Toys,5595,3019,1780,60.538947368421056,59.9778947368421
205,2022-02-11,Clothing,5714,3440,2037,55.094500000000004,54.439499999999995
206,2022-02-11,Electronics,3263,2027,1313,49.17416666666667,48.59916666666667
207,2022-02-11,Furniture,5453,2150,1769,50.95375,51.695
208,2022-02-11,Groceries,6773,2787,2412,50.35952380952381,50.14047619047619
209,2022-02-11,Toys,9909,5266,3625,39.08903225806451,38.892258064516135
210,2022-02-12,Clothing,5142,2598,2126,54.16222222222222,53.34111111111111
211,2022-02-12,Electronics,5211,2653,2454,66.54249999999999,66.03999999999999
212,2022-02-12,Furniture,5971,2823,2415,53.061904761904756,53.91904761904762
213,2022-02-12,Groceries,7195,3910,2520,59.90166666666667,59.806666666666665
214,2022-02-12,Toys,4688,1865,1827,53.60058823529412,53.551764705882356
215,2022-02-13,Clothing,6329,2923,2468,47.14714285714286,47.631904761904764
216,2022-02-13,Electronics,5481,2319,3070,54.712399999999995,53.054399999999994
217,2022-02-13,Furniture,3618,1224,2227,56.8235294117647,55.45882352941176
218,2022-02-13,Groceries,4797,2348,2136,49.927058823529414,49.91882352941177
219,2022-02-13,Toys,4754,2163,1945,54.1715,54.1875
220,2022-02-14,Clothing,6037,2998,2095,49.95619047619047,49.49952380952381
221,2022-02-14,Electronics,4885,2939,2026,62.76047619047619,62.197142857142865
222,2022-02-14,Furniture,6598,2802,2473,59.095,60.20583333333334
223,2022-02-14,Groceries,3345,1682,1664,58.45307692307692,58.66230769230769
224,2022-02-14,Toys,5728,3359,2473,62.18714285714286,62.48428571428572
225,2022-02-15,Clothing,7532,3443,3344,59.55481481481482,58.797777777777775
226,2022-02-15,Electronics,8358,4118,3065,59.491379310344826,58.99413793103448
227,2022-02-15,Furniture,3913,1789,1301,47.99076923076923,48.3
228,2022-02-15,Groceries,4090,2290,1862,53.23375,52.581875
229,2022-02-15,Toys,4504,2336,1453,52.79933333333334,51.97266666666666
230,2022-02-16,Clothing,5608,3230,2009,48.50142857142857,47.8552380952381
231,2022-02-16,Electronics,2023,925,873,51.93857142857143,53.544285714285714
232,2022-02-16,Furniture,6845,3915,2458,52.88521739130435,52.90913043478261
233,2022-02-16,Groceries,8996,5465,3115,57.63966666666667,58.13633333333333
234,2022-02-16,Toys,5362,2660,1875,63.78578947368421,63.66263157894736
235,2022-02-17,Clothing,6163,2747,2675,52.748636363636365,52.05136363636363
236,2022-02-17,Electronics,3194,2142,1783,52.38733333333333,53.288000000000004
237,2022-02-17,Furniture,6193,3275,2512,51.695,50.45409090909091
238,2022-02-17,Groceries,6614,3280,2548,61.26565217391304,61.34782608695652
239,2022-02-17,Toys,5449,2169,2076,68.86666666666666,68.44111111111111
240,2022-02-18,Clothing,6030,3586,2095,49.26363636363636,49.321363636363635
241,2022-02-18,Electronics,4407,1749,1458,53.55266666666667,53.95
242,2022-02-18,Furniture,5993,3174,2359,65.83200000000001,65.3245
243,2022-02-18,Groceries,5526,3106,2463,55.6052380952381,55.38047619047619
244,2022-02-18,Toys,6415,3426,2577,54.064090909090915,53.71590909090909
245,2022-02-19,Clothing,6070,3724,2097,57.02285714285714,56.55380952380952
246,2022-02-19,Electronics,3591,1590,2048,56.62833333333333,56.46
247,2022-02-19,Furniture,7306,3064,3396,48.10814814814815,47.64074074074074
248,2022-02-19,Groceries,4968,2092,2089,55.4875,55.2735
249,2022-02-19,Toys,3926,1674,1597,46.730000000000004,46.485
250,2022-02-20,Clothing,6470,3552,2239,57.85,58.54956521739131
251,2022-02-20,Electronics,4218,1775,1824,48.41294117647059,47.677058823529414
252,2022-02-20,Furniture,4747,2352,2040,70.22052631578947,70.4342105263158
253,2022-02-20,Groceries,5834,2702,2066,58.447500000000005,58.7025
254,2022-02-20,Toys,6140,3155,2227,53.679047619047616,53.219523809523814
255,2022-02-21,Clothing,6004,2865,2015,56.502631578947366,56.24578947368421
256,2022-02-21,Electronics,5445,2840,2139,49.50863636363636,49.11863636363636
257,2022-02-21,Furniture,6104,2514,1969,69.73590909090909,69.66772727272728
258,2022-02-21,Groceries,5060,2114,1949,47.367777777777775,46.79
259,2022-02-21,Toys,4995,2463,2285,53.05894736842105,52.672105263157896
260,2022-02-22,Clothing,6515,3814,2422,49.26391304347826,48.97913043478261
261,2022-02-22,Electronics,4929,2472,2010,47.565,48.42111111111112
262,2022-02-22,Furniture,7207,3671,3412,52.63074074074074,51.839259259259265
263,2022-02-22,Groceries,5109,2088,1688,53.17823529411765,52.677058823529414
264,2022-02-22,Toys,4657,2472,1999,67.97666666666666,68.53866666666666
265,2022-02-23,Clothing,6727,2992,2187,52.27409090909091,52.22409090909091
266,2022-02-23,Electronics,4377,2165,1782,42.88823529411765,42.54823529411765
267,2022-02-23,Furniture,5819,3394,2118,56.95590909090909,56.76136363636363
268,2022-02-23,Groceries,5589,2209,2505,52.48454545454546,52.164090909090916
269,2022-02-23,Toys,4585,2771,1664,49.89235294117647,49.85294117647059
270,2022-02-24,Clothing,6817,3762,2908,50.762692307692305,50.695
271,2022-02-24,Electronics,3890,2379,1287,49.32923076923077,48.97692307692308
272,2022-02-24,Furniture,4915,2070,1366,52.366470588235295,53.06588235294117
273,2022-02-24,Groceries,5144,3129,2704,56.07454545454545,53.54772727272727
274,2022-02-24,Toys,6141,2828,2391,45.155454545454546,46.25545454545455
275,2022-02-25,Clothing,6471,3498,2644,49.87479999999999,50.6628
276,2022-02-25,Electronics,4473,2025,1804,60.03176470588235,60.28941176470589
277,2022-02-25,Furniture,6035,2940,2462,50.36545454545455,50.155454545454546
278,2022-02-25,Groceries,6130,2894,2553,52.87333333333333,52.766666666666666
279,2022-02-25,Toys,4036,1784,1744,55.412,56.49666666666666
280,2022-02-26,Clothing,8041,4217,2263,45.36923076923077,44.58038461538461
281,2022-02-26,Electronics,4056,2118,1509,62.42666666666666,62.47533333333333
282,2022-02-26,Furniture,5490,3376,2128,53.68142857142857,52.530952380952385
283,2022-02-26,Groceries,6491,2776,1870,57.408,58.798
284,2022-02-26,Toys,5005,2562,2129,50.00555555555556,50.373333333333335
285,2022-02-27,Clothing,5188,2873,1736,56.279444444444444,55.861111111111114
286,2022-02-27,Electronics,8673,4561,3437,63.56103448275862,62.51275862068966
287,2022-02-27,Furniture,4540,2605,2130,58.642105263157895,58.92421052631579
288,2022-02-27,Groceries,4437,2293,1454,58.245625000000004,58.378125
289,2022-02-27,Toys,5579,2902,2239,53.125,53.83777777777778
290,2022-02-28,Clothing,8015,4178,2822,49.2892,49.6412
291,2022-02-28,Electronics,7604,3981,2447,54.07142857142857,53.85857142857143
292,2022-02-28,Furniture,2992,1703,1758,47.49733333333334,47.774
293,2022-02-28,Groceries,4756,2372,1955,53.347647058823526,53.45529411764706
294,2022-02-28,Toys,4786,2604,1628,58.547333333333334,59.288000000000004
295,2022-03-01,Clothing,5024,3185,1675,61.21375,59.938125
296,2022-03-01,Electronics,3669,1886,2363,57.357894736842105,56.816315789473684
297,2022-03-01,Furniture,5265,2699,1797,55.27444444444445,55.88111111111111
298,2022-03-01,Groceries,6978,3211,3066,46.16153846153846,45.06230769230769
299,2022-03-01,Toys,6174,3126,2387,71.87095238095237,71.17952380952381
300,2022-03-02,Clothing,5136,2501,1860,51.36526315789474,50.80368421052631
301,2022-03-02,Electronics,5945,3145,2504,51.07238095238095,50.92666666666667
302,2022-03-02,Furniture,6406,2860,2092,53.43055555555556,53.62722222222222
303,2022-03-02,Groceries,5517,2593,2492,60.89409090909091,62.32181818181818
304,2022-03-02,Toys,5204,2999,1946,51.113,51.237
305,2022-03-03,Clothing,6350,3245,2775,53.0928,53.0356
306,2022-03-03,Electronics,5827,2833,2430,65.13714285714286,65.70619047619047
307,2022-03-03,Furniture,3563,1956,1512,59.370625,57.4675
308,2022-03-03,Groceries,4358,2215,2752,57.605000000000004,56.352222222222224
309,2022-03-03,Toys,5996,2677,2227,54.38250000000001,54.2965
310,2022-03-04,Clothing,4784,2089,2300,55.388421052631585,56.35526315789474
311,2022-03-04,Electronics,5563,2801,2560,57.57999999999999,57.13238095238095
312,2022-03-04,Furniture,6822,3117,2828,57.9812,59.383199999999995
313,2022-03-04,Groceries,6357,3727,2247,63.063,62.527499999999996
314,2022-03-04,Toys,4390,2476,1693,59.05733333333333,59.13333333333333
315,2022-03-05,Clothing,5794,2847,2397,49.80227272727273,49.905454545454546
316,2022-03-05,Electronics,6963,3630,2530,51.59291666666667,51.33041666666667
317,2022-03-05,Furniture,5854,2512,2220,50.269473684210524,50.53526315789473
318,2022-03-05,Groceries,3701,2057,1994,57.03235294117647,57.23235294117647
319,2022-03-05,Toys,5769,2861,2071,47.58611111111111,48.12722222222222
320,2022-03-06,Clothing,4605,1902,1475,58.6675,59.641875
321,2022-03-06,Electronics,5361,2073,1865,70.22235294117647,70.47294117647058
322,2022-03-06,Furniture,5153,2390,2282,61.787,60.4615
323,2022-03-06,Groceries,5729,3327,1915,59.57523809523809,59.787142857142854
324,2022-03-06,Toys,6639,3477,2693,63.43269230769231,62.53653846153846
325,2022-03-07,Clothing,5441,2795,2038,56.31421052631579,56.037894736842105
326,2022-03-07,Electronics,3486,1515,1372,66.82857142857144,68.12142857142858
327,2022-03-07,Furniture,7008,3114,2553,51.76083333333333,51.25416666666666
328,2022-03-07,Groceries,4009,1748,1275,56.657333333333334,56.33533333333333
329,2022-03-07,Toys,8482,4367,3111,60.489285714285714,60.07607142857143
330,2022-03-08,Clothing,5356,2168,2123,53.831500000000005,54.2995
331,2022-03-08,Electronics,5234,2654,1758,59.15882352941177,59.093529411764706
332,2022-03-08,Furniture,8060,4617,2843,50.708571428571425,50.316071428571426
333,2022-03-08,Groceries,5035,2928,2190,59.81999999999999,59.56736842105263
334,2022-03-08,Toys,4343,2380,1624,56.756875,58.046875
335,2022-03-09,Clothing,2302,843,804,41.70142857142857,41.901428571428575
336,2022-03-09,Electronics,6073,2695,2266,60.51521739130435,60.60565217391304
337,2022-03-09,Furniture,5638,3548,2253,54.101,54.1915
338,2022-03-09,Groceries,6690,3554,2539,65.37347826086956,65.47608695652174
339,2022-03-09,Toys,7045,3316,3293,49.346296296296295,48.605555555555554
340,2022-03-10,Clothing,5762,2552,2451,63.153333333333336,62.9704761904762
341,2022-03-10,Electronics,4874,2452,2151,48.445263157894736,48.386315789473684
342,2022-03-10,Furniture,4240,2229,1585,48.71,48.884
343,2022-03-10,Groceries,6544,3804,2483,49.530869565217394,49.40130434782609
344,2022-03-10,Toys,5881,2767,2206,52.57363636363636,52.15272727272727
345,2022-03-11,Clothing,4864,2355,1810,64.674375,62.7625
346,2022-03-11,Electronics,7390,3270,2853,55.900000000000006,56.06307692307692
347,2022-03-11,Furniture,6560,2942,2533,65.8745,66.7055
348,2022-03-11,Groceries,4852,3217,2188,66.0995,67.38550000000001
349,2022-03-11,Toys,5046,2058,2068,45.897777777777776,46.181666666666665
350,2022-03-12,Clothing,4610,1781,1957,50.538125,49.543125
351,2022-03-12,Electronics,5030,2817,2018,51.76578947368421,51.05157894736842
352,2022-03-12,Furniture,6076,2865,2280,56.20333333333333,55.182380952380946
353,2022-03-12,Groceries,4914,2425,1904,54.555,55.91222222222222
354,2022-03-12,Toys,6847,4364,3127,60.072307692307696,59.59307692307693
355,2022-03-13,Clothing,4261,1522,1743,53.905625,53.515625
356,2022-03-13,Electronics,4395,2666,1477,58.457857142857144,59.184285714285714
357,2022-03-13,Furniture,7678,3449,2654,61.54458333333333,61.156666666666666
358,2022-03-13,Groceries,5247,2143,2346,63.19428571428571,63.336666666666666
359,2022-03-13,Toys,6678,3774,2821,51.282,51.8332
360,2022-03-14,Clothing,5685,3256,2574,54.7004347826087,54.94869565217391
361,2022-03-14,Electronics,5819,2547,1942,61.57947368421053,62.12052631578947
362,2022-03-14,Furniture,6921,3082,2797,48.0528,47.816
363,2022-03-14,Groceries,5499,2910,2118,66.00555555555555,67.18111111111111
364,2022-03-14,Toys,3968,1726,1537,52.744,51.59
365,2022-03-15,Clothing,7281,2595,3092,56.37571428571429,56.13857142857143
366,2022-03-15,Electronics,3839,2061,1665,54.4725,53.424375000000005
367,2022-03-15,Furniture,4206,2076,1378,50.97071428571429,51.03928571428571
368,2022-03-15,Groceries,7149,3141,3019,56.6775,56.99464285714286
369,2022-03-15,Toys,3683,1184,1777,59.582142857142856,58.42071428571428
370,2022-03-16,Clothing,4871,2148,1952,51.98277777777778,50.355555555555554
